CCAA;SEXO;EDAD;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P17E;P17F;ECIVIL;P19;P20;P21;P22;P22A;SIMPATIA;ESCIDEOL;RECUVOTOG;CERCANIA;ESCUELA;NIVELESTENTREV;RELIGION;PRACTICARELIG6;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL;SINCERIDAD
10;1;19;1;4;1;1;4;4;5;2;1;2;4;2;0;1;1;1;0;9999;5;0;9998;3;5;2;2;6;0;0;3;4;2
9;1;68;8;4;2;2;2;4;8;2;2;1;1;1;0;1;1;1;0;0;1;901;901;3;4;4;0;2;0;0;4;3;1
1;1;24;4;2;1;2;4;5;2;4;1;2;4;2;0;1;1;1;0;0;3;1;1;3;7;4;0;1;1;3;4;3;1
10;1;74;2;2;2;1;2;5;5;2;2;1;1;1;0;1;1;1;0;0;1;1;1;3;11;2;2;2;0;0;3;3;1
12;2;49;2;4;4;4;4;5;4;4;2;1;2;1;0;1;2;2;4;1;5;21;1;3;4;2;2;1;3;3;2;3;2
9;1;42;5;1;1;1;4;4;5;4;2;1;1;1;0;1;1;1;0;0;8;0;3;3;15;2;3;4;0;0;5;3;1
13;2;65;4;5;2;2;4;5;2;4;2;0;0;3;5;1;2;2;5;0;1;1;8;3;5;6;0;1;1;5;3;5;2
1;1;45;4;4;1;2;4;2;5;2;2;1;3;1;0;1;1;2;1;0;7;3;28;3;7;4;0;1;1;3;2;5;2
9;1;33;4;1;4;4;5;4;4;1;2;2;4;5;0;1;1;1;0;0;8;0;9998;3;6;2;3;1;3;8;4;4;1
15;1;80;4;4;2;4;2;2;4;2;1;0;0;1;4;1;1;2;4;9999;99;9999;9999;3;2;3;9;2;0;0;9;98;3
9;1;61;4;5;4;4;4;4;2;1;5;1;3;2;0;2;1;1;0;0;2;21;21;3;6;6;0;4;0;0;4;4;1
7;1;54;2;1;2;2;2;4;2;1;1;1;2;1;0;1;1;1;0;0;1;21;9;3;7;6;0;1;1;2;2;5;1
